year,theme,set,filename,path
2010,LEGO® Architecture,21007,4632899.pdf,/Users/bramp/personal/lego-instructions/data/21007/4632899.pdf
2010,LEGO® Atlantis,8078,4594778.pdf,/Users/bramp/personal/lego-instructions/data/8078/4594778.pdf
2010,LEGO® CREATOR Expert,10216,4596701.pdf,/Users/bramp/personal/lego-instructions/data/10216/4596701.pdf
2010,LEGO® City,3221,4597394.pdf,/Users/bramp/personal/lego-instructions/data/3221/4597394.pdf
2011,LEGO® Games,3859,4646625.pdf,/Users/bramp/personal/lego-instructions/data/3859/4646625.pdf
2011,LEGO® HERO Factory,2235,4622252.pdf,/Users/bramp/personal/lego-instructions/data/2235/4622252.pdf
2011,LEGO® Harry Potter™,10217,4629954.pdf,/Users/bramp/personal/lego-instructions/data/10217/4629954.pdf
2011,LEGO® NINJAGO®,2504,4644299.pdf,/Users/bramp/personal/lego-instructions/data/2504/4644299.pdf
2012,LEGO® Castle,10223,4666671.pdf,/Users/bramp/personal/lego-instructions/data/10223/4666671.pdf
2012,LEGO® Classic,10656,6033886.pdf,/Users/bramp/personal/lego-instructions/data/10656/6033886.pdf
2012,LEGO® Creator,31007,6036296.pdf,/Users/bramp/personal/lego-instructions/data/31007/6036296.pdf
2012,LEGO® Friends,41008,6036482.pdf,/Users/bramp/personal/lego-instructions/data/41008/6036482.pdf
2013,3in1,31010,6049032.pdf,/Users/bramp/personal/lego-instructions/data/31010/6049032.pdf
2013,LEGO® CHIMA™,70010,6050881.pdf,/Users/bramp/personal/lego-instructions/data/70010/6050881.pdf
2013,LEGO® DC,10937,6035713.pdf,/Users/bramp/personal/lego-instructions/data/10937/6035713.pdf
2013,LEGO® DUPLO®,10511,6050453.pdf,/Users/bramp/personal/lego-instructions/data/10511/6050453.pdf
2014,LEGO® Disney™,41054,6073795.pdf,/Users/bramp/personal/lego-instructions/data/41054/6073795.pdf
2014,LEGO® Ideas,21110,6107021.pdf,/Users/bramp/personal/lego-instructions/data/21110/6107021.pdf
2014,LEGO® Juniors,10669,6092019.pdf,/Users/bramp/personal/lego-instructions/data/10669/6092019.pdf
2014,LEGO® MINECRAFT,21116,6120599.pdf,/Users/bramp/personal/lego-instructions/data/21116/6120599.pdf
2015,LEGO® Elves,41077,6129660.pdf,/Users/bramp/personal/lego-instructions/data/41077/6129660.pdf
2015,LEGO® Jurassic World™,75919,6133010.pdf,/Users/bramp/personal/lego-instructions/data/75919/6133010.pdf
2015,LEGO® Marvel™,76042,6125435.pdf,/Users/bramp/personal/lego-instructions/data/76042/6125435.pdf
2015,LEGO® Other,40143,6134843.pdf,/Users/bramp/personal/lego-instructions/data/40143/6134843.pdf
2016,LEGOLAND,40166,6156721.pdf,/Users/bramp/personal/lego-instructions/data/40166/6156721.pdf
2016,LEGO® DC Super Hero Girls™,41232,6211510.pdf,/Users/bramp/personal/lego-instructions/data/41232/6211510.pdf
2016,LEGO® Ghostbusters™,75827,6164663.pdf,/Users/bramp/personal/lego-instructions/data/75827/6164663.pdf
2016,LEGO® NEXO KNIGHTS,70323,6163972.pdf,/Users/bramp/personal/lego-instructions/data/70323/6163972.pdf
2017,LEGO® BOOST,17101,17101_A_AutoBuilder.pdf,/Users/bramp/personal/lego-instructions/data/17101/17101_A_AutoBuilder.pdf
2017,LEGO® Brickheadz,41588,6196161.pdf,/Users/bramp/personal/lego-instructions/data/41588/6196161.pdf
2017,LEGO® Cars™,10730,6202361.pdf,/Users/bramp/personal/lego-instructions/data/10730/6202361.pdf
2017,LEGO® Pirates of the Caribbean™,71042,6203142.pdf,/Users/bramp/personal/lego-instructions/data/71042/6203142.pdf
2018,LEGO® Star Wars™,75251,6263495.pdf,/Users/bramp/personal/lego-instructions/data/75251/6263495.pdf
2018,LEGO® Technic,42080,6245456.pdf,/Users/bramp/personal/lego-instructions/data/42080/6245456.pdf
2018,LEGO® The Powerpuff Girls™,41287,6242524.pdf,/Users/bramp/personal/lego-instructions/data/41287/6242524.pdf
2018,LEGO® Unikitty™,41452,6241644.pdf,/Users/bramp/personal/lego-instructions/data/41452/6241644.pdf
2019,LEGO® Hidden Side,70425,6285640.pdf,/Users/bramp/personal/lego-instructions/data/70425/6285640.pdf
2019,LEGO® Stranger Things,75810,6284511.pdf,/Users/bramp/personal/lego-instructions/data/75810/6284511.pdf
2019,LEGO® Toy Story 4,10771,6281892.pdf,/Users/bramp/personal/lego-instructions/data/10771/6281892.pdf
2019,THE LEGO® MOVIE 2™,70835,6271353.pdf,/Users/bramp/personal/lego-instructions/data/70835/6271353.pdf
2020,LEGO® Art,31200,6332229.pdf,/Users/bramp/personal/lego-instructions/data/31200/6332229.pdf
2020,LEGO® Chinese Festivals,80105,6315475.pdf,/Users/bramp/personal/lego-instructions/data/80105/6315475.pdf
2020,LEGO® DOTS,41915,6327564.pdf,/Users/bramp/personal/lego-instructions/data/41915/6327564.pdf
2020,LEGO® Icons,10274,6440747.pdf,/Users/bramp/personal/lego-instructions/data/10274/6440747.pdf
2021,LEGO® Botanical Collection,10280,6532379.pdf,/Users/bramp/personal/lego-instructions/data/10280/6532379.pdf
2021,LEGO® Monkie Kid™,80028,6375772.pdf,/Users/bramp/personal/lego-instructions/data/80028/6375772.pdf
2021,LEGO® Super Mario™,71391,6383167.pdf,/Users/bramp/personal/lego-instructions/data/71391/6383167.pdf
2021,Marvel Spider-Man™,10940,6371729.pdf,/Users/bramp/personal/lego-instructions/data/10940/6371729.pdf
2022,LEGO® Avatar™,75574,6437247.pdf,/Users/bramp/personal/lego-instructions/data/75574/6437247.pdf
2022,Trains,60336,6417757.pdf,/Users/bramp/personal/lego-instructions/data/60336/6417757.pdf
2022,LEGO® Architecture,21057,6400298.pdf,/Users/bramp/personal/lego-instructions/data/21057/6400298.pdf
2022,LEGO® Art,31204,6399797.pdf,/Users/bramp/personal/lego-instructions/data/31204/6399797.pdf
2023,LEGO® BIONICLE,40581,6446046.pdf,/Users/bramp/personal/lego-instructions/data/40581/6446046.pdf
2023,LEGO® DREAMZzz™,40657,6474218.pdf,/Users/bramp/personal/lego-instructions/data/40657/6474218.pdf
2023,LEGO® Gabby's Dollhouse,10785,6473481.pdf,/Users/bramp/personal/lego-instructions/data/10785/6473481.pdf
2023,LEGO® Indiana Jones™,77015,6422771.pdf,/Users/bramp/personal/lego-instructions/data/77015/6422771.pdf
2024,Disney,40673,6494145.pdf,/Users/bramp/personal/lego-instructions/data/40673/6494145.pdf
2024,LEGO® Fortnite®,77072,6541110.pdf,/Users/bramp/personal/lego-instructions/data/77072/6541110.pdf
2024,LEGO® The Legend of Zelda™,77092,6535949.pdf,/Users/bramp/personal/lego-instructions/data/77092/6535949.pdf
2024,LEGO® Wednesday,40750,6536734.pdf,/Users/bramp/personal/lego-instructions/data/40750/6536734.pdf
2025,LEGO® Bluey,11202,6580255.pdf,/Users/bramp/personal/lego-instructions/data/11202/6580255.pdf
2025,LEGO® Nike,43008,6590570.pdf,/Users/bramp/personal/lego-instructions/data/43008/6590570.pdf
2025,LEGO® ONE PIECE,75639,6591920.pdf,/Users/bramp/personal/lego-instructions/data/75639/6591920.pdf
2025,LEGO® Sonic the Hedgehog™,40781,6555872.pdf,/Users/bramp/personal/lego-instructions/data/40781/6555872.pdf
